Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Bhutan,BTN,2020,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,8025
Bhutan,BTN,2018,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,8499
Bhutan,BTN,2017,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,7250
Bhutan,BTN,2016,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,7125
Bhutan,BTN,2015,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,5894
Bhutan,BTN,2014,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,4896
Bhutan,BTN,2013,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,3835
Bhutan,BTN,2012,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,2586
Bhutan,BTN,2011,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,1520
Bhutan,BTN,2010,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,659
Bhutan,BTN,2009,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,363
Bhutan,BTN,2008,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,294
Bhutan,BTN,2007,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,215
Bhutan,BTN,2005,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,416
Bhutan,BTN,2004,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,526
Bhutan,BTN,2000,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,358
Bhutan,BTN,1999,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,286
Bhutan,BTN,1998,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,357
Bhutan,BTN,1995,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,230
Bhutan,BTN,2020,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,3936
Bhutan,BTN,2018,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,4204
Bhutan,BTN,2017,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,3668
Bhutan,BTN,2016,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,3621
Bhutan,BTN,2015,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,3000
Bhutan,BTN,2014,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,2500
Bhutan,BTN,2013,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,1877
Bhutan,BTN,2012,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,1245
Bhutan,BTN,2011,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,779
Bhutan,BTN,2010,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,313
Bhutan,BTN,2008,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,151
Bhutan,BTN,2007,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,108
Bhutan,BTN,2005,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,197
Bhutan,BTN,2000,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,174
Bhutan,BTN,1999,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,136
Bhutan,BTN,1998,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,172
Bhutan,BTN,1995,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,123
Bhutan,BTN,2020,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,13.74455
Bhutan,BTN,2018,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,19.34345
Bhutan,BTN,2017,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,25.06207
Bhutan,BTN,2016,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,24.05614
Bhutan,BTN,2015,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,24.34679
Bhutan,BTN,2014,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,28.6152
Bhutan,BTN,2013,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,45.55411
Bhutan,BTN,2012,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,40.33256
Bhutan,BTN,2011,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,68.22368
Bhutan,BTN,2008,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,100
Bhutan,BTN,2007,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,100
Bhutan,BTN,2005,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,100
Bhutan,BTN,2000,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,100
Bhutan,BTN,1999,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,100
Bhutan,BTN,1998,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,100
Bhutan,BTN,2020,"Teachers in pre-primary education, both sexes (number)",SE.PRE.TCHR,947
Bhutan,BTN,2018,"Teachers in pre-primary education, both sexes (number)",SE.PRE.TCHR,764
Bhutan,BTN,2017,"Teachers in pre-primary education, both sexes (number)",SE.PRE.TCHR,672
Bhutan,BTN,2016,"Teachers in pre-primary education, both sexes (number)",SE.PRE.TCHR,574
Bhutan,BTN,2015,"Teachers in pre-primary education, both sexes (number)",SE.PRE.TCHR,510
Bhutan,BTN,2014,"Teachers in pre-primary education, both sexes (number)",SE.PRE.TCHR,435
Bhutan,BTN,2013,"Teachers in pre-primary education, both sexes (number)",SE.PRE.TCHR,330
Bhutan,BTN,2012,"Teachers in pre-primary education, both sexes (number)",SE.PRE.TCHR,229
Bhutan,BTN,2011,"Teachers in pre-primary education, both sexes (number)",SE.PRE.TCHR,122
Bhutan,BTN,2010,"Teachers in pre-primary education, both sexes (number)",SE.PRE.TCHR,79
Bhutan,BTN,2009,"Teachers in pre-primary education, both sexes (number)",SE.PRE.TCHR,37
Bhutan,BTN,2008,"Teachers in pre-primary education, both sexes (number)",SE.PRE.TCHR,26
Bhutan,BTN,2007,"Teachers in pre-primary education, both sexes (number)",SE.PRE.TCHR,19
Bhutan,BTN,2005,"Teachers in pre-primary education, both sexes (number)",SE.PRE.TCHR,18
Bhutan,BTN,2000,"Teachers in pre-primary education, both sexes (number)",SE.PRE.TCHR,16
Bhutan,BTN,1999,"Teachers in pre-primary education, both sexes (number)",SE.PRE.TCHR,13
Bhutan,BTN,1998,"Teachers in pre-primary education, both sexes (number)",SE.PRE.TCHR,16
Bhutan,BTN,2020,"Teachers in pre-primary education, female (number)",SE.PRE.TCHR.FE,885
Bhutan,BTN,2018,"Teachers in pre-primary education, female (number)",SE.PRE.TCHR.FE,710
